Word		Original_root		Predicted_root
الیکشن		الیکشن		الیکشن
کمشنر		کمشنر		کمشنر
سے		سے		سے
NULL		null		UUll
خواہش		خواہش		خواہش
کی		کر		کا
کہ		کہ		کہ
وہ		وہ		وہ
ہر		ہر		ہر
حلقہ		حلقہ		حلقہ
اسمبلی		اسمبلی		اسمبلی
مےں		مےں		مےں
علحدہ		علحدہ		علحدہ
علحدہ		علحدہ		علحدہ
فورس		فورس		فورس
کی		کا		کا
تعیناتی		تعیناتی		تعیناتی
کو		کو		کو
یقینی		یقینی		یقینی
بنانے		بنا		بنا
کے		کا		کا
اقدامات		اقدام		اقدام
کریں		کر		کر
تاکہ		تاکہ		تاکہ
آزادانہ		آزادانہ		آزادانہ
و		و		و
منصفانہ		منصفانہ		منصفانہ
انتخابات		انتخاب		انتخاب
کو		کو		کو
یقینی		یقینی		یقینی
بنایا		بنا		بنا
جا		جا		جا
سکے		سک		سک
۔		۔		۔
NULL		واضح		UUll
واضح		واضح		واضح
رہے		رہ		رہ
کہ		کہ		کہ
گزشتہ		گزشتہ		گزشتہ
یوم		یوم		یوم
مسٹر		مسٹر		مسٹر
نائیڈو		نائیڈو		نائیڈو
پر		پر		پر
ضلع		ضلع		ضلع
کڑپہ		کڑپہ		کڑپہ
مےں		مےں		مےں
ہوئے		ہو		ہو
حملہ		حملہ		حملہ
کے		کے		کا
بعد		بعد		بعد
مسٹر		مسٹر		مسٹر
نائیڈو		نائیڈو		نائیڈو
نے		نے		نے
اس		یہ		یہ
طرح		طرح		طرح
کے		کا		کا
واقعات		واقعہ		واقعا
کا		کا		کا
حوالہ		حوالہ		حوالہ
دیتے		دے		دے
ہوئے		ہو		ہو
کہا		کہہ		کہہ
کہ		کہ		کہ
ضلع		ضلع		ضلع
کڑپہ		کڑپہ		کڑپہ
مےں		مےں		مےں
گروہ_واری		گروہ_واری		گروہ_واری
عناصر		عنصر		عناصر
انتخابات		انتخاب		انتخاب
مےں		مےں		مےں
دھاندلیوں		دھاندلی		دھاندلی
کی		کا		کا
منصوبہ_بندی		منصوبہ_بندی		منصوبہ_بندی
کر		کر		کر
رہے		رہ		رہ
ہیں		ہے		ہے
۔		۔		۔
انہوں		وہ		وہ
نے		نے		نے
بتایا		بتا		بتا
کہ		کہ		کہ
جمہوریت		جمہوریت		جمہوریت
کی		کا		کا
بقاء		بقاء		بقاء
کے		کے		کا
لئے		لئے		لئے
یہ		یہ		یہ
ضروری		ضروری		ضروری
ہے		ہے		ہے
کہ		کہ		کہ
چیف		چیف		چیف
الیکشن		الیکشن		الیکشن
کمشنر		کمشنر		کمشنر
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
ان		یہ		یہ
انتخابات		انتخاب		انتخاب
کی		کا		کا
راست		راست		راست
نگرانی		نگرانی		نگرانی
اور		اور		اور
غنڈہ		غنڈہ		غنڈہ
عناصر		عنصر		عناصر
پر		پر		پر
کنٹرول		کنٹرول		کنٹرول
کے		کے		کا
لئے		لئے		لئے
سخت_ترین		سخت_ترین		سخت_ترین
انتظامات		انتظام		انتظام
کئے		کر		کر
جائیں		جا		جا
۔		۔		۔
مسٹر		مسٹر		مسٹر
نائیڈو		نائیڈو		نائیڈو
نے		نے		نے
سی		سی		سی
ای		ای		ای
سی		سی		سی
کو		کو		کو
روانہ_کردہ		روانہ_کردہ		روانہ_کردہ
مکتوب		مکتوب		مکتوب
مےں		مےں		مےں
اس		وہ		یہ
بات		بات		بات
کی		کا		کا
طرف		طرف		طرف
بھی		بھی		بھی
اشارہ		اشارہ		اشارہ
کیا		کر		کر
کہ		کہ		کہ
علاقے		علاقہ		علاقہ
مےں		مےں		مےں
وائی		وائی		وائی
ایس		ایس		ایس
جگن		جگن		جگن
موہن		موہن		موہن
ریڈی		ریڈی		ریڈی
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
بدعنوانیوں		بدعنوانی		بدعنوانی
و		و		و
بےقاعدگیوں		بےقاعدگی		بےقاعدگی
کے		کے		کا
ذریعہ		ذریعہ		ذریعہ
حاصل_کردہ		حاصل_کردہ		حاصل_کردہ
دولت		دولت		دولت
کے		کا		کا
استعمال		استعمال		استعمال
کے		کے		کا
ذریعہ		ذریعہ		ذریعہ
رائےدہندوں		رائےدہندہ		رائےدہند
کو		کو		کو
راغب		راغب		راغب
کرنے		کر		کر
کی		کا		کا
کوشش		کوشش		کوشش
کی		کر		کا
جا		جا		جا
رہی		رہ		رہ
ہے		ہے		ہے
جو		جو		جو
کہ		کہ		کہ
انتخابی		انتخابی		انتخابی
ضابطہ		ضابطہ		ضابطہ
اخلاق		اخلاق		اخلاق
کی		کا		کا
سنگین		سنگین		سنگین
خلاف_ورزی		خلاف_ورزی		خلاف_ورزی
ہے		ہے		ہے
-		-		-
اےک		اےک		اےک
شخص		شخص		شخص
نے		نے		نے
مبینہ		مبینہ		مبینہ
طور		طور		طور
پر		پر		پر
اپنی		اپنا		اپنا
منگیتر		منگیتر		منگیتر
اور		اور		اور
اس		وہ		یہ
کے		کا		کا
والدین		والدین		والدین
پر		پر		پر
چاقو		چاقو		چاقو
سے		سے		سے
حملہ		حملہ		حملہ
کر		کر		کر
کے		کا		کا
زخمی		زخمی		زخمی
کر		کر		کر
دیا		دے		دے
۔		۔		۔
پولیس		پولیس		پولیس
نے		نے		نے
بتایا		بتا		بتا
کہ		کہ		کہ
نوجوان		نوجوان		نوجوان
لڑکی		لڑکی		لڑکی
کی		کا		کا
پاک_دامنی		پاک_دامنی		پاک_دامنی
پر		پر		پر
شبہ		شبہ		شبہ
کرتے		کر		کر
ہوئے		ہو		ہو
حملہ		حملہ		حملہ
کیا		کر		کر
۔		۔		۔
ڈی		ڈی		ڈی
بھارت		بھارت		بھارت
کرشنا		کرشنا		کرشنا
خانگی		خانگی		خانگی
ملازم		ملازم		ملازم
جو		جو		جو
24		24		24
سالہ		سالہ		سالہ
خاتون		خاتون		خاتون
فروین		فروین		فروین
صنم		صنم		صنم
متعلم		متعلم		متعلم
ایم		ایم		ایم
کام		کام		کام
سے		سے		سے
عشق		عشق		عشق
کرتا		کر		کر
تھا		تھا		تھا
۔		۔		۔
دونوں		دو		دو
کے		کا		کا
ارکان		رکن		رکن
خاندان		خاندان		خاندان
ان		وہ		یہ
کی		کا		کا
اس		یہ		یہ
سال		سال		سال
فبروری		فبروری		فبروری
مےں		مےں		مےں
منگنی		منگنی		منگنی
کرنے		کر		کر
کے		کے		کا
بعد		بعد		بعد
شادی		شادی		شادی
سے		سے		سے
اتفاق		اتفاق		اتفاق
کیا		کر		کر
تھا		تھا		تھا
اور		اور		اور
21		21		21
مئی		مئی		مئی
کو		کو		کو
شادی		شادی		شادی
مقرر		مقرر		مقرر
تھی		تھا		تھا
۔		۔		۔
تاہم		تاہم		تاہم
بھارت		بھارت		بھارت
کرشنا		کرشنا		کرشنا
کو		کو		کو
اپنی		اپنا		اپنا
منگیتر		منگیتر		منگیتر
کے		کا		کا
چال		چال		چال
و		و		و
چلن		چلن		چلن
پر		پر		پر
شبہ		شبہ		شبہ
ہوا		ہو		ہو
اور		اور		اور
الزام		الزام		الزام
عائد		عائد		عائد
کیا		کر		کر
کہ		کہ		کہ
وہ		وہ		وہ
کسی		کوئی		کوئیییییییییی
اور		اور		اور
شخص		شخص		شخص
کے		کے		کا
ساتھ		ساتھ		ساتھ
تعلقات		تعلق		تعلق
رکھتی		رکھ		رکھ
ہے		ہے		ہے
۔		۔		۔
آج		آج		آج
شام		شام		شام
وہ		وہ		وہ
اپنی		اپنا		اپنا
منگیتر		منگیتر		منگیتر
کے		کا		کا
گھر		گھر		گھر
گیا		جا		جا
اور		اور		اور
بحث		بحث		بحث
کرتے		کر		کر
ہوئے		ہو		ہو
اس		وہ		یہ
شخص		شخص		شخص
کا		کا		کا
نام		نام		نام
ظاہر		ظاہر		ظاہر
کرنے		کر		کر
کا		کا		کا
مطالبہ		مطالبہ		مطالبہ
کیا		کر		کر
اور		اور		اور
کہا		کہہ		کہہ
کہ		کہ		کہ
اس		وہ		یہ
کے		کے		کا
ساتھ		ساتھ		ساتھ
ابھی		ابھی		ابھی
چل		چل		چل
کر		کر		کر
شادی		شادی		شادی
کر		کر		کر
لے		لے		لے
لیکن		لیکن		لیکن
خاتون		خاتون		خاتون
نے		نے		نے
انکار		انکار		انکار
کیا		کر		کر
اور		اور		اور
چیخ		چیخ		چیخ
و		و		و
پکار		پکار		پکار
سن		سن		سن
کر		کر		کر
لڑکی		لڑکی		لڑکی
کے		کا		کا
والدین		والدین		والدین
اور		اور		اور
دیگر		دیگر		دیگر
ارکان		رکن		رکن
پہنچ		پہنچ		پہنچ
گئے		جا		جا
NULL		null		UUll
جس		جو		جو
پر		پر		پر
برہم		برہم		برہم
بھارت		بھارت		بھارت
نے		نے		نے
لڑکی		لڑکی		لڑکی
اور		اور		اور
اس		وہ		یہ
کے		کا		کا
والدین		والدین		والدین
پر		پر		پر
چاقو		چاقو		چاقو
سے		سے		سے
حملہ		حملہ		حملہ
کیا		کر		کر
۔		۔		۔
لڑکی		لڑکی		لڑکی
کے		کا		کا
گردن		گردن		گردن
اور		اور		اور
ہاتھ		ہاتھ		ہاتھ
پر		پر		پر
شدید		شدید		شدید
زخم		زخم		زخم
آئے		آ		آ
۔		۔		۔
والدین		والدین		والدین
معمولی		معمولی		معمولی
زخمی		زخمی		زخمی
ہوئے		ہو		ہو
ہےں		ہے		ہے
۔		۔		۔
آندھراپردیش		آندھراپردیش		آندھراپردیش
ہائیکورٹ		ہائیکورٹ		ہائیکورٹ
نے		نے		نے
قبرستان		قبرستان		قبرستان
چوکھنڈی		چوکھنڈی		چوکھنڈی
،		،		،
شیخ		شیخ		شیخ
پیٹ		پیٹ		پیٹ
کی		کا		کا
موجودہ		موجودہ		موجودہ
حالت		حالت		حالت
کے		کے		کا
تعلق		تعلق		تعلق
سے		سے		سے
اےک		اےک		اےک
رپورٹ		رپورٹ		رپورٹ
پیش		پیش		پیش
کرنے		کر		کر
کی		کا		کا
سکریٹری		سکریٹری		سکریٹری
محکمہ		محکمہ		محکمہ
اقلیتی		اقلیتی		اقلیتی
بہبود		بہبود		بہبود
،		،		،
اسپیشل		اسپیشل		اسپیشل
آفیسر		آفیسر		آفیسر
مجلس		مجلس		مجلس
بلدیہ		بلدیہ		بلدیہ
عظیم_تر		عظیم_تر		عظیم_تر
حیدرآباد		حیدرآباد		حیدرآباد
،		،		،
چیف		چیف		چیف
ایگزیکیٹیو		ایگزیکیٹیو		اوگزیکیٹیو
آفیسر		آفیسر		آفیسر
اے		اے		اے
پی		پی		پی
اسٹیٹ		اسٹیٹ		اسٹیٹ
وقف		وقف		وقف
بورڈ		بورڈ		بورڈ
اور		اور		اور
کمشنر		کمشنر		کمشنر
پولیس		پولیس		پولیس
حیدرآباد		حیدرآباد		حیدرآباد
کو		کو		کو
ہدایت		ہدایت		ہدایت
دی		دے		دے
ہے		ہے		ہے
NULL		null		UUll
اس		وہ		یہ
کے		کے		کا
علاوہ		علاوہ		علاوہ
انہیں		وہ		وہ
یہ		یہ		یہ
بھی		بھی		بھی
ہدایت		ہدایت		ہدایت
دی		دے		دے
گئی		جا		جا
ہے		ہے		ہے
کہ		کہ		کہ
وہ		وہ		وہ
قبرستان		قبرستان		قبرستان
چوکھنڈی		چوکھنڈی		چوکھنڈی
مےں		مےں		مےں
جوں		جوں		جوں
کا		کا		کا
توں		توں		توں
موقف		موقف		موقف
برقرار		برقرار		برقرار
رکھنے		رکھ		رکھ
کے		کے		کا
تعلق		تعلق		تعلق
سے		سے		سے
عدالت		عدالت		عدالت
کے		کا		کا
احکام		حکم		ححکام
کی		کا		کا
پابندی		پابندی		پابندی
کو		کو		کو
یقینی		یقینی		یقینی
بنائیں		بنا		بنا
۔		۔		۔
چیف		چیف		چیف
جسٹس		جسٹس		جسٹس
مسٹر		مسٹر		مسٹر
جسٹس		جسٹس		جسٹس
نثار		نثار		نثار
احمد		احمد		احمد
کاکرو		کاکرو		کاکرو
اور		اور		اور
جسٹس		جسٹس		جسٹس
وی		وی		وی
وی		وی		وی
افضل		افضل		افضل
پورکر		پورکر		پورکر
پر		پر		پر
مشتمل		مشتمل		مشتمل
بنچ		بنچ		بنچ
نے		نے		نے
یہ		یہ		یہ
ہدایت		ہدایت		ہدایت
جاری		جاری		جاری
کی		کر		کا
۔		۔		۔
تفصیلات		تفصیل		تفصیل
کے		کے		کا
بموجب		بموجب		بموجب
درخواست_گذار		درخواست_گذار		دوخواست_گذار
و		و		و
صدر		صدر		صدر
وقف		وقف		وقف
پراپرٹیز		پراپرٹیز		پراپرٹیز
پروٹیکشن		پروٹیکشن		پروٹیکشن
سوسائیٹی		سوسائیٹی		سوسائیٹی
جناب		جناب		جناب
عثمان		عثمان		عثمان
بن		بن		بن
محمد		محمد		محمد
الہاجری		الہاجری		الہاجری
نے		نے		نے
قبرستان		قبرستان		قبرستان
چوکھنڈی		چوکھنڈی		چوکھنڈی
شیخ_پیٹ		شیخ		شیخ_پیٹ
کی		کا		کا
بانڈری		بانڈری		بانڈری
و		و		و
قبور		قبر		قبور
کو		کو		کو
مسمار		مسمار		مسمار
کرتے		کر		کر
ہوئے		ہو		ہو
سڑک		سڑک		سڑک
کی		کا		کا
تعمیر		تعمیر		تعمیر
کے		کے		کا
خلاف		خلاف		خلاف
عدالت		عدالت		عدالت
کا		کا		کا
دروازہ		دروازہ		دروازہ
کھٹکھٹایا		کھٹکھٹا		کھٹکھٹای
تھا		تھا		تھا
NULL		null		UUll
جس		جو		جو
پر		پر		پر
عدالت		عدالت		عدالت
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
یہاں		یہاں		یہاں
جوں		جوں		جوں
کا		کا		کا
توں		توں		توں
موقف		موقف		موقف
برقرار		برقرار		برقرار
رکھنے		رکھ		رکھ
کی		کا		کا
ہدایت		ہدایت		ہدایت
جاری		جاری		جاری
کی		کر		کا
گئی		جا		جا
تھی		تھا		تھا
۔		۔		۔
عدالت		عدالت		عدالت
کی		کا		کا
ہدایت		ہدایت		ہدایت
کے		کے		کا
باوجود		باوجود		باوجود
یہاں		یہاں		یہاں
بلدیہ		بلدیہ		بلدیہ
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
سوچے		سوچ		سوچے
سمجھے		سمجھ		سمجھ
منصوبہ		منصوبہ		منصوبہ
کے		کے		کا
تحت		تحت		تحت
مذکورہ		مذکورہ		مذکورہ
سڑک		سڑک		سڑک
کی		کا		کا
تعمیر		تعمیر		تعمیر
کا		کا		کا
کام		کام		کام
جاری		جاری		جاری
رکھا		رکھ		رکھ
گیا		جا		جا
تھا		تھا		تھا
۔		۔		۔
رات		رات		رات
مےں		مےں		مےں
بھی		بھی		بھی
تعمیری		تعمیری		تعمیری
کام		کام		کام
جاری		جاری		جاری
رکھا		رکھ		رکھ
گیا		جا		جا
اور		اور		اور
راستہ		راستہ		راستہ
کو		کو		کو
عوام		عوام		عوام
کے		کے		کا
لئے		لئے		لئے
کھولنے		کھول		کھول
کی		کا		کا
کوشش		کوشش		کوشش
کی		کر		کا
گئی		جا		جا
تھی		تھا		تھا
۔		۔		۔
اس		یہ		یہ
پر		پر		پر
عثمان		عثمان		عثمان
بن		بن		بن
محمد		محمد		محمد
الہاجری		الہاجری		الہاجری
نے		نے		نے
اےک		اےک		اےک
درخواست		درخواست		درخواست
ہائیکورٹ		ہائیکورٹ		ہائیکورٹ
مےں		مےں		مےں
داخل		داخل		داخل
کرتے		کر		کر
ہوئے		ہو		ہو
استدعا		استدعا		استدعا
کی		کر		کا
تھی		تھا		تھا
کہ		کہ		کہ
مذکورہ		مذکورہ		مذکورہ
قبرستان		قبرستان		قبرستان
کی		کا		کا
حصاربندی		حصاربندی		حصاربندی
کرتے		کر		کر
ہوئے		ہو		ہو
اس		وہ		یہ
کے		کا		کا
تقدس		تقدس		تقدس
کا		کا		کا
تحفظ		تحفظ		تحفظ
کیا		کر		کر
جائے		جا		جا
۔		۔		۔
عثمان		عثمان		عثمان
الہاجری		الہاجری		الہاجری
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
سید		سید		سید
کریم		کریم		کریم
الدین		الدین		الدین
شکیل		شکیل		شکیل
ایڈوکیٹ		ایڈوکیٹ		ایڈوکیٹ
نے		نے		نے
عدالت		عدالت		عدالت
کو		کو		کو
تفصیلات		تفصیل		تفصیل
سے		سے		سے
آگاہ		آگاہ		آگاہ
کیا		کر		کر
NULL		null		UUll
جس		جو		جو
پر		پر		پر
عدالت		عدالت		عدالت
نے		نے		نے
سخت		سخت		سخت
نوٹ		نوٹ		نوٹ
لیتے		لے		لے
ہوئے		ہو		ہو
گریٹر		گریٹر		گریٹر
حیدرآباد		حیدرآباد		حیدرآباد
میونسپل		میونسپل		میونسپل
کارپوریشن		کارپوریشن		کارپوریشن
،		،		،
میناریٹی		میناریٹی		میناریٹی
ویلفیر		ویلفیر		ویلفیر
ڈپاٹمنٹ		ڈپاٹمنٹ		ڈپاٹمنٹ
،		،		،
وقف		وقف		وقف
بورڈ		بورڈ		بورڈ
اور		اور		اور
کمشنر		کمشنر		کمشنر
پولیس		پولیس		پولیس
کو		کو		کو
حکم		حکم		حکم
دیا		دے		دے
کہ		کہ		کہ
وہ		وہ		وہ
عدالتی		عدالتی		عدالتی
احکام		حکم		ححکام
کے		کے		کا
تحت		تحت		تحت
جوں		جوں		جوں
کا		کا		کا
توں		توں		توں
موقف		موقف		موقف
برقرار		برقرار		برقرار
رکھے		رکھ		رکھ
جانے		جا		جا
کو		کو		کو
یقینی		یقینی		یقینی
بنائیں		بنا		بنا
اور		اور		اور
آئندہ		آئندہ		آئندہ
تاریخ		تاریخ		تاریخ
سماعت		سماعت		سماعت
تک		تک		تک
عدالت		عدالت		عدالت
مےں		مےں		مےں
مقام		مقام		مقام
مذکور		مذکور		مذکور
کا		کا		کا
معائنہ		معائنہ		معائنہ
کرتے		کر		کر
ہوئے		ہو		ہو
تفصیلی		تفصیلی		تفصیلی
رپورٹ		رپورٹ		رپورٹ
پیش		پیش		پیش
کریں		کر		کر
۔		۔		۔
ڈی		ڈی		ڈی
سی		سی		سی
پی		پی		پی
ساؤتھ		ساؤتھ		ساؤتھ
زون		زون		زون
کی		کا		کا
حیثیت		حیثیت		حیثیت
سے		سے		سے
مسٹر		مسٹر		مسٹر
ونیت		ونیت		ونیت
برج		برج		برج
لال		لال		لال
نے		نے		نے
آج		آج		آج
شام		شام		شام
اپنے		اپنا		اپنا
عہدے		عہدہ		عہدہ
کا		کا		کا
جائزہ		جائزہ		جائزہ
حاصل		حاصل		حاصل
کر		کر		کر
لیا		لے		لے
۔		۔		۔
ڈی		ڈی		ڈی
سی		سی		سی
پی		پی		پی
ساؤتھ		ساؤتھ		ساؤتھ
زون		زون		زون
مدھو		مدھو		مدھو
سدھن		سدھن		سدھن
ریڈی		ریڈی		ریڈی
کی		کا		کا
ترقی		ترقی		ترقی
کے		کے		کا
بعد		بعد		بعد
وہ		وہ		وہ
انچارج		انچارج		انچارج
ڈی		ڈی		ڈی
سی		سی		سی
پی		پی		پی
کی		کا		کا
حیثیت		حیثیت		حیثیت
سے		سے		سے
خدمات		خدمت		خدمت
انجام		انجام		انجام
دے		دے		دے
رہے		رہ		رہ
تھے		تھا		تھا
۔		۔		۔
مسٹر		مسٹر		مسٹر
ونیت		ونیت		ونیت
برج		برج		برج
لال		لال		لال
نے		نے		نے
آج		آج		آج
ان		وہ		یہ
سے		سے		سے
اپنے		اپنا		اپنا
عہدے		عہدہ		عہدہ
کا		کا		کا
جائزہ		جائزہ		جائزہ
حاصل		حاصل		حاصل
کر		کر		کر
لیا		لے		لے
۔		۔		۔
ونیت		ونیت		ونیت
برج		برج		برج
لال		لال		لال
وئیزاک		وئیزاک		وئیزاک
رورل		رورل		رورل
کے		کا		کا
ایس		ایس		ایس
پی		پی		پی
کی		کا		کا
حیثیت		حیثیت		حیثیت
سے		سے		سے
خدمات		خدمت		خدمت
انجام		انجام		انجام
دے		دے		دے
رہے		رہ		رہ
تھے		تھا		تھا
۔		۔		۔
چینائی		چینائی		چینائی
سوپر		سوپر		سوپر
کنگس		کنگس		کنگس
کے		کا		کا
بولرس		بولر		بولرس
نے		نے		نے
آج		آج		آج
بہترین		بہترین		بہترین
مظاہرہ		مظاہرہ		مظاہرہ
کرتے		کر		کر
ہوئے		ہو		ہو
دکن		دکن		دکن
چارجرس		چارجرس		چارجرس
کے		کے		کا
خلاف		خلاف		خلاف
19		19		19
رنز		رنز		رنز
سے		سے		سے
کامیابی		کامیابی		کامیابی
یقینی		یقینی		یقینی
بنائی		بنا		بنا
۔		۔		۔
سوہال		سوہال		سوہال
نے		نے		نے
24		24		24
گیندوں		گیند		گیندہ
مےں		مےں		مےں
جاریہ		جاریہ		جاریہ
سیزن		سیزن		سیزن
کی		کا		کا
تیزترین		تیزترین		تیزترین
نصف		نصف		نصف
سنچری		سنچری		سنچری
بنائی		بنا		بنا
لیکن		لیکن		لیکن
ان		وہ		یہ
کے		کا		کا
آوٹ		آوٹ		آوٹ
ہونے		ہو		ہو
کے		کے		کا
بعد		بعد		بعد
میچ		میچ		میچ
چینائی		چینائی		چینائی
سوپر		سوپر		سوپر
کنگس		کنگس		کنگس
کے		کا		کا
حق		حق		حق
مےں		مےں		مےں
چلا		چلا		چلا
گیا		جا		جا
۔		۔		۔
مقررہ		مقررہ		مقررہ
20		20		20
اوورس		اوور		اوورس
مےں		مےں		مےں
165		165		165
رنز		رنز		رنز
بنانے		بنا		بنا
کے		کے		کا
بعد		بعد		بعد
ٹیم		ٹیم		ٹیم
نے		نے		نے
حریف		حریف		حریف
دکن		دکن		دکن
چارجرس		چارجرس		چارجرس
کو		کو		کو
146		146		146
/		/		U
8		8		8
پر		پر		پر
محدود		محدود		محدود
کر		کر		کر
دیا		دے		دے
۔		۔		۔
سریش		سریش		سریش
رائنا		رائنا		رائنا
نے		نے		نے
چینائی		چینائی		چینائی
سوپر		سوپر		سوپر
کنگس		کنگس		کنگس
کے		کے		کا
لئے		لئے		لئے
59		59		59
رنز		رنز		رنز
بنائے		بنا		بنا
جبکہ		جبکہ		جبکہ
البی		البی		البی
مرکل		مرکل		مرکل
نے		نے		نے
3		3		3
وکٹس		وکٹس		وکٹس
حاصل		حاصل		حاصل
کئے		کر		کر
۔		۔		۔
کامیابی		کامیابی		کامیابی
کے		کے		کا
لئے		لئے		لئے
166		166		166
رنز		رنز		رنز
کا		کا		کا
تعاقب		تعاقب		تعاقب
کرتے		کر		کر
ہوئے		ہو		ہو
دفاعی		دفاعی		دفاعی
چمپئین		چمپئین		چمپئین
دکن		دکن		دکن
چارجرس		چارجرس		چارجرس
نے		نے		نے
اچھی		اچھی		اچھا
شروعات		شروعات		شروعات
کی		کر		کا
لیکن		لیکن		لیکن
بعد		بعد		بعد
مےں		مےں		مےں
بیٹسمین		بیٹسمین		بیٹسمین
ناکام		ناکام		ناکام
ہو		ہو		ہو
۔		۔		۔
اےک		اےک		اےک
مرحلہ		مرحلہ		مرحلہ
پر		پر		پر
دکن		دکن		دکن
چارجرس		چارجرس		چارجرس
کا		کا		کا
اسکور		اسکور		اسکور
6.4		6.4		6.4
اوورس		اوورس		اوورس
مےں		مےں		مےں
بنا		بنا		بن
کسی		کوئی		کوئیییییییییی
نقصان		نقصان		نقصان
سے		سے		سے
71		71		71
رنز		رنز		رنز
ہو		ہو		ہو
گیا		جا		جا
تھا		تھا		تھا
۔		۔		۔
سوہال		سوہال		سوہال
نے		نے		نے
24		24		24
گیندوں		گیند		گیندہ
مےں		مےں		مےں
جاریہ		جاریہ		جاریہ
سیزن		سیزن		سیزن
کی		کا		کا
تیزترین		تیزترین		تیزترین
نصف		نصف		نصف
سنچری		سنچری		سنچری
بنائی		بنا		بنا
لیکن		لیکن		لیکن
ان		وہ		یہ
کے		کا		کا
آوٹ		آوٹ		آوٹ
ہونے		ہو		ہو
کے		کے		کا
بعد		بعد		بعد
میچ		میچ		میچ
چینائی		چینائی		چینائی
سوپر		سوپر		سوپر
کنگس		کنگس		کنگس
کے		کا		کا
حق		حق		حق
مےں		مےں		مےں
چلا		چلا		چلا
گیا		جا		جا
۔		۔		۔
قبل_ازیں		قبل_ازیں		قبل_اں
سریش		سریش		سریش
رائنا		رائنا		رائنا
کی		کا		کا
نصف		نصف		نصف
سنچری		سنچری		سنچری
اور		اور		اور
مرکل		مرکل		مرکل
کی		کا		کا
بہترین		بہترین		بہترین
بالنگ		بالنگ		بالنگ
نے		نے		نے
ٹیم		ٹیم		ٹیم
کی		کا		کا
کامیابی		کامیابی		کامیابی
کو		کو		کو
یقینی		یقینی		یقینی
بنایا		بنا		بنا
۔		۔		۔
سریش		سریش		سریش
رائنا		رائنا		رائنا
نے		نے		نے
فارم		فارم		فارم
مےں		مےں		مےں
واپس		واپس		واپس
ہوتے		ہو		ہو
ہوئے		ہو		ہو
6		6		6
چوکوں		چوکا		چوک
اور		اور		اور
2		2		2
چھکوں		چھکا		چھک
کی		کا		کا
مدد		مدد		مدد
سے		سے		سے
35		35		35
گیندوں		گیند		گیندہ
مےں		مےں		مےں
59		59		59
رنز		رنز		رنز
بنائے		بنا		بنا
جبکہ		جبکہ		جبکہ
مرکل		مرکل		مرکل
نے		نے		نے
3		3		3
وکٹس		وکٹس		وکٹس
حاصل		حاصل		حاصل
کئے		کر		کر
۔		۔		۔
اس		یہ		یہ
کے		کے		کا
علاوہ		علاوہ		علاوہ
انہوں		وہ		وہ
نے		نے		نے
چھ		چھ		چھ
گیندوں		گیند		گیندہ
